,congress,type,originChamber,originChamberCode,number,url,title,updateDateIncludingText,latestAction,updateDate
0,119,SRES,Senate,S,420,https://api.congress.gov/v3/bill/119/sres/420?format=xml,"A resolution supporting the designation of September 19, 2025, as ""National Concussion Awareness Day"".",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6844; text: CR S6839)'}",2025-09-30
1,119,SRES,Senate,S,418,https://api.congress.gov/v3/bill/119/sres/418?format=xml,"A resolution expressing support for the designation of the week of September 20 through September 27, 2025, as ""National Estuaries Week"".",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent. (text: CR 9/19/2025 S6795-6796)'}",2025-09-30
2,119,S,Senate,S,2144,https://api.congress.gov/v3/bill/119/s/2144?format=xml,"A bill to improve the safety and security of Members of Congress, immediate family members of Members of Congress, and congressional staff.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Passed Senate with an amendment by Unanimous Consent. (text: CR S6841-6842)'}",2025-09-30
3,119,S,Senate,S,1333,https://api.congress.gov/v3/bill/119/s/1333?format=xml,Strengthening Child Exploitation Enforcement Act,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Passed Senate without amendment by Unanimous Consent. (text: CR S6843-6844)'}",2025-09-30
4,119,HR,House,H,5371,https://api.congress.gov/v3/bill/119/hr/5371?format=xml,"Continuing Appropriations and Extensions Act, 2026",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Cloture motion on the motion to proceed to the measure presented in Senate. (: CR S6842)'}",2025-09-30
5,119,S,Senate,S,2938,https://api.congress.gov/v3/bill/119/s/2938?format=xml,"A bill to require the Secretary of Energy to establish the Advanced Artificial Intelligence Evaluation Program, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Commerce, Science, and Transportation.'}",2025-09-30
6,119,S,Senate,S,2882,https://api.congress.gov/v3/bill/119/s/2882?format=xml,"Continuing Appropriations and Extensions and Other Matters Act, 2026",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Motion to proceed to consideration of measure withdrawn in Senate.'}",2025-09-30
7,119,SRES,Senate,S,412,https://api.congress.gov/v3/bill/119/sres/412?format=xml,An executive resolution authorizing the en bloc consideration in Executive Session of certain nominations on the Executive Calendar.,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Cloture motion on the measure presented in Senate.'}",2025-09-30
8,119,S,Senate,S,2806,https://api.congress.gov/v3/bill/119/s/2806?format=xml,Eliminate Shutdowns Act,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Motion by Senator Thune to reconsider the motion to proceed the vote by which cloture on the motion to proceed to S. 2806 was not invoked (Record Vote No. 533) made in Senate.'}",2025-09-30
9,119,SRES,Senate,S,421,https://api.congress.gov/v3/bill/119/sres/421?format=xml,"A resolution urging the executive branch and leaders of the G7 and the European Union to seize sovereign assets of the Russian Federation under the jurisdiction of members of the G7 and disburse such assets to Ukraine in tranches of not less than $10,000,000,000 United States dollars per month until expended.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Referred to the Committee on Foreign Relations. (text: CR S6839-6840)'}",2025-09-30
10,119,S,Senate,S,2936,https://api.congress.gov/v3/bill/119/s/2936?format=xml,"A bill to designate Antifa as a domestic terrorist organization, to counter domestic terrorism and organized political violence, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2025-09-30
11,119,S,Senate,S,2937,https://api.congress.gov/v3/bill/119/s/2937?format=xml,A bill to establish legal standards for advanced artificial intelligence products.,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on the Judiciary. (text: CR S6836-6838)'}",2025-09-30
12,119,SRES,Senate,S,419,https://api.congress.gov/v3/bill/119/sres/419?format=xml,"A resolution expressing support for the designation of September 2025 as ""Hawaiian History Month"" to recognize the history, culture and contributions of Native Hawaiians and reaffirm the United States Federal trust responsibility to the Native Hawaiian Community to support their well-being.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Referred to the Committee on Indian Affairs. (text: CR S6838-6839)'}",2025-09-30
13,119,S,Senate,S,2935,https://api.congress.gov/v3/bill/119/s/2935?format=xml,"A bill to prohibit State and local law enforcement officers from arresting foreign nationals within the United States solely on the basis of an indictment, warrant, or request issued by the International Criminal Court, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2025-09-30
14,119,S,Senate,S,723,https://api.congress.gov/v3/bill/119/s/723?format=xml,Tribal Trust Land Homeownership Act of 2025,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Star Print ordered on 119-60.'}",2025-09-30
15,119,S,Senate,S,2934,https://api.congress.gov/v3/bill/119/s/2934?format=xml,A bill to limit the availability of civil actions affected by United States sanctions.,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on the Judiciary.'}",2025-09-30
16,119,S,Senate,S,2933,https://api.congress.gov/v3/bill/119/s/2933?format=xml,"A bill to redesignate a playground in the New River Gorge National Park and Preserve in the State of West Virginia as the ""Hearts of Gold Playground: In Honor of West Virginia Children and Families Impacted by Childhood Cancer"".",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Energy and Natural Resources.'}",2025-09-30
17,119,S,Senate,S,2932,https://api.congress.gov/v3/bill/119/s/2932?format=xml,"A bill to protect the name, image, and likeness rights of, and provide protections for, student athletes, and for other purposes.",2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Commerce, Science, and Transportation.'}",2025-09-30
18,119,S,Senate,S,2931,https://api.congress.gov/v3/bill/119/s/2931?format=xml,A bill to reauthorize the National Flood Insurance Program.,2025-09-30,"{'actionDate': '2025-09-29', 'text': 'Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.'}",2025-09-30
