b_id,bill_name,congno,total_amount,total_lobbyists,total_agencies,first_year,last_year,num_years
hr5376-117,H.R.5376,117.0,4881270425.0,60679.0,67856.0,2021,2023,3
hr748-116,H.R.748,116.0,3545990800.0,38406.0,45877.0,2019,2020,2
hr3684-117,H.R.3684,117.0,2784537504.0,30321.0,43147.0,2021,2023,3
hr1319-117,H.R.1319,117.0,2653269211.0,30593.0,38830.0,2021,2022,2
hr6800-116,H.R.6800,116.0,2525357026.0,24591.0,30865.0,2020,2021,2
s1260-117,S.1260,117.0,2457241793.0,23853.0,29771.0,2021,2023,3
s3548-116,S.3548,116.0,2376753865.0,17525.0,19893.0,2020,2022,3
hr624-113,H.R.624,113.0,2059466434.0,13017.0,12679.0,2013,2014,2
hr6201-116,H.R.6201,116.0,2009307147.0,16465.0,19634.0,2020,2020,1
hr2029-114,H.R.2029,114.0,1922903645.0,16602.0,20585.0,2015,2016,2
hr4521-117,H.R.4521,117.0,1768478649.0,14698.0,18758.0,2021,2023,3
hr4350-117,H.R.4350,117.0,1694598807.0,12804.0,13245.0,2021,2023,3
hr6395-116,H.R.6395,116.0,1693996764.0,13611.0,14773.0,2020,2022,3
hr1865-116,H.R.1865,116.0,1543755492.0,11855.0,13329.0,2019,2020,2
hr1-115,H.R.1,115.0,1495262887.0,19277.0,24645.0,2017,2019,3
hr1625-115,H.R.1625,115.0,1440718624.0,11886.0,14077.0,2017,2018,2
s4049-116,S.4049,116.0,1401457198.0,11625.0,12681.0,2020,2022,3
s1790-116,S.1790,116.0,1355561910.0,11587.0,12783.0,2019,2020,2
hr2500-116,H.R.2500,116.0,1353503520.0,11878.0,13803.0,2019,2020,2
hr9-114,H.R.9,114.0,1318205581.0,10254.0,13343.0,2015,2017,3
hr2471-117,H.R.2471,117.0,1252463137.0,9636.0,12586.0,2021,2022,2
hr7900-117,H.R.7900,117.0,1250410390.0,10927.0,12729.0,2022,2023,2
s754-114,S.754,114.0,1229452292.0,9021.0,10823.0,2015,2016,2
sconres8-113,S.CON.RES.8,113.0,1161280935.0,10937.0,13766.0,2013,2014,2
hr6074-116,H.R.6074,116.0,1158287416.0,10204.0,11015.0,2020,2020,1
s744-113,S.744,113.0,1066272173.0,10999.0,15623.0,2013,2014,2
hr1628-115,H.R.1628,115.0,1060107011.0,12891.0,15851.0,2017,2018,2
hr1560-114,H.R.1560,114.0,1015873342.0,7042.0,8236.0,2015,2016,2
s2012-114,S.2012,114.0,1008568297.0,9592.0,13938.0,2015,2017,3
s697-114,S.697,114.0,1004950521.0,7401.0,9095.0,2015,2016,2
s1895-116,S.1895,116.0,991807672.0,10461.0,11432.0,2019,2020,2
s1137-114,S.1137,114.0,988181372.0,7836.0,9781.0,2015,2017,3
sconres11-114,S.CON.RES.11,114.0,974114764.0,10163.0,11132.0,2015,2016,2
hr7617-116,H.R.7617,116.0,972411336.0,7271.0,7374.0,2020,2020,1
hr2-116,H.R.2,116.0,965876051.0,11704.0,18325.0,2019,2021,3
