b_id,bill_name,congno,total_amount,total_lobbyists,total_agencies,first_year,last_year,num_years
hr22-114,H.R.22,114.0,954094491.0,8792.0,11165.0,2015,2016,2
s601-113,S.601,113.0,931470304.0,8172.0,11222.0,2013,2014,2
hr2810-115,H.R.2810,115.0,927541521.0,9155.0,10174.0,2017,2019,3
hr756-113,H.R.756,113.0,924916136.0,5713.0,5869.0,2013,2014,2
hr3055-116,H.R.3055,116.0,923925033.0,9049.0,12016.0,2019,2020,2
sconres14-117,S.CON.RES.14,117.0,921191697.0,12147.0,12049.0,2021,2023,3
hr133-116,H.R.133,116.0,912232789.0,15357.0,19046.0,2020,2020,1
hr8-114,H.R.8,114.0,906955238.0,7807.0,9768.0,2015,2017,3
hconres25-113,H.CON.RES.25,113.0,892328609.0,7939.0,9216.0,2013,2014,2
hr2577-114,H.R.2577,114.0,890019375.0,7227.0,8819.0,2015,2017,3
hr1770-114,H.R.1770,114.0,880957338.0,6269.0,6623.0,2015,2016,2
hr6-114,H.R.6,114.0,880723818.0,9959.0,11057.0,2015,2019,4
hr1735-114,H.R.1735,114.0,873838920.0,8859.0,10395.0,2015,2016,2
hr2740-116,H.R.2740,116.0,870483122.0,9301.0,12663.0,2019,2020,2
hr3-116,H.R.3,116.0,865024980.0,8749.0,9421.0,2019,2020,2
hr845-113,H.R.845,113.0,865002121.0,5106.0,5299.0,2013,2014,2
hr5-115,H.R.5,115.0,856745116.0,4901.0,6901.0,2017,2019,3
hr2617-117,H.R.2617,117.0,855991225.0,10331.0,12358.0,2021,2022,2
hr1512-117,H.R.1512,117.0,853251000.0,6595.0,9811.0,2021,2022,2
hr10-115,H.R.10,115.0,827758341.0,6708.0,8019.0,2017,2019,3
hr3-117,H.R.3,117.0,826990754.0,6466.0,6825.0,2021,2023,3
hr5515-115,H.R.5515,115.0,813508349.0,7516.0,8415.0,2018,2019,2
s1405-115,S.1405,115.0,811312540.0,7261.0,8635.0,2017,2019,3
s1720-113,S.1720,113.0,809791029.0,6040.0,6747.0,2013,2015,3
s2943-114,S.2943,114.0,808791857.0,7444.0,7974.0,2016,2017,2
hjres59-113,H.J.RES.59,113.0,803495857.0,8259.0,9762.0,2013,2014,2
hr2576-114,H.R.2576,114.0,788464770.0,5673.0,7063.0,2015,2017,3
s1009-113,S.1009,113.0,786473018.0,5180.0,6693.0,2013,2014,2
hr2997-115,H.R.2997,115.0,777803338.0,6535.0,8500.0,2017,2019,3
s954-113,S.954,113.0,776313701.0,8016.0,10090.0,2013,2014,2
hr4909-114,H.R.4909,114.0,771047363.0,7500.0,8389.0,2016,2017,2
hr1892-115,H.R.1892,115.0,755469291.0,6165.0,6586.0,2017,2019,3
hr8152-117,H.R.8152,117.0,755459076.0,5724.0,5912.0,2022,2023,2
hr1960-113,H.R.1960,113.0,753069868.0,7668.0,9592.0,2013,2014,2
hr1731-114,H.R.1731,114.0,740536373.0,5439.0,6297.0,2015,2016,2
hr2225-117,H.R.2225,117.0,737391493.0,4970.0,5259.0,2021,2022,2
hr2028-114,H.R.2028,114.0,730425278.0,8246.0,9999.0,2015,2017,3
hr933-113,H.R.933,113.0,726001334.0,8432.0,11174.0,2013,2014,2
hr842-117,H.R.842,117.0,722833185.0,5737.0,8938.0,2021,2022,2
s420-117,S.420,117.0,712425045.0,5140.0,7613.0,2021,2022,2
s1013-113,S.1013,113.0,710951477.0,5046.0,6102.0,2013,2014,2
hr5-117,H.R.5,117.0,710057432.0,3884.0,5328.0,2021,2022,2
hr684-113,H.R.684,113.0,707100196.0,5396.0,5771.0,2013,2014,2
hr3309-113,H.R.3309,113.0,706311790.0,6106.0,6770.0,2013,2015,3
hr3593-117,H.R.3593,117.0,696967172.0,4196.0,3929.0,2021,2022,2
s280-114,S.280,114.0,695559574.0,3761.0,2917.0,2015,2016,2
hr634-113,H.R.634,113.0,683573020.0,4649.0,4290.0,2013,2014,2
s1885-115,S.1885,115.0,681680072.0,4956.0,6450.0,2017,2019,3
hr1388-114,H.R.1388,114.0,681563298.0,3745.0,3206.0,2015,2016,2
hr3816-117,H.R.3816,117.0,679340274.0,4243.0,4138.0,2021,2023,3
hr677-113,H.R.677,113.0,678625440.0,4178.0,3874.0,2013,2014,2
s2155-115,S.2155,115.0,675242491.0,6063.0,7427.0,2017,2019,3
hr1158-116,H.R.1158,116.0,671616617.0,5006.0,5695.0,2019,2020,2
s336-113,S.336,113.0,670121312.0,4761.0,4745.0,2013,2014,2
hr1947-113,H.R.1947,113.0,664327492.0,6457.0,8268.0,2013,2014,2
hr5485-114,H.R.5485,114.0,663585905.0,4571.0,4356.0,2016,2017,2
hr4502-117,H.R.4502,117.0,660439576.0,7163.0,9904.0,2021,2023,3
s749-117,S.749,117.0,650452779.0,3763.0,5084.0,2021,2022,2
s751-114,S.751,114.0,647310371.0,3449.0,2902.0,2015,2016,2
hr888-113,H.R.888,113.0,645568140.0,3113.0,1919.0,2013,2014,2
s1353-113,S.1353,113.0,644862763.0,4262.0,4723.0,2013,2015,3
s2543-116,S.2543,116.0,642272947.0,6773.0,6904.0,2019,2020,2
hr644-114,H.R.644,114.0,640263782.0,5269.0,7221.0,2015,2016,2
s662-113,S.662,113.0,635107740.0,3879.0,3921.0,2013,2015,3
hr2578-114,H.R.2578,114.0,633704311.0,5188.0,5757.0,2015,2017,3
hr1816-117,H.R.1816,117.0,632725287.0,3002.0,3099.0,2021,2022,2
s761-113,S.761,113.0,627829798.0,4085.0,5259.0,2013,2015,3
hr3696-113,H.R.3696,113.0,626623479.0,3852.0,3383.0,2013,2015,3
hr3849-117,H.R.3849,117.0,621612165.0,3548.0,3247.0,2021,2023,3
s866-113,S.866,113.0,616700211.0,4318.0,5542.0,2013,2014,2
hr3547-113,H.R.3547,113.0,614725865.0,6158.0,7319.0,2013,2015,3
hr1-116,H.R.1,116.0,613864713.0,6585.0,8800.0,2019,2020,2
hr83-113,H.R.83,113.0,608921165.0,6664.0,7741.0,2014,2014,1
s177-114,S.177,114.0,607854094.0,4256.0,4612.0,2015,2016,2
hr2-115,H.R.2,115.0,607651265.0,7265.0,10933.0,2017,2021,4
hr636-114,H.R.636,114.0,606069144.0,4789.0,6126.0,2015,2016,2
hr3826-117,H.R.3826,117.0,605884829.0,3629.0,3348.0,2021,2023,3
hr2-114,H.R.2,114.0,598959143.0,7368.0,9091.0,2015,2019,5
hr348-114,H.R.348,114.0,597865249.0,3323.0,2354.0,2015,2016,2
hr2-113,H.R.2,113.0,593999491.0,2952.0,3097.0,2013,2014,2
s1484-114,S.1484,114.0,592424552.0,5057.0,6191.0,2015,2017,3
hr185-114,H.R.185,114.0,587252713.0,3595.0,4289.0,2015,2016,2
hr3388-115,H.R.3388,115.0,583898484.0,4172.0,5583.0,2017,2019,3
s2098-115,S.2098,115.0,583602009.0,3455.0,4153.0,2017,2019,3
s1193-113,S.1193,113.0,582670912.0,2955.0,2942.0,2013,2014,2
hr2641-113,H.R.2641,113.0,577372507.0,3094.0,2639.0,2013,2015,3
s1435-117,S.1435,117.0,577108163.0,3186.0,2260.0,2021,2023,3
s607-113,S.607,113.0,576176841.0,3353.0,3653.0,2013,2014,2
s743-113,S.743,113.0,576048185.0,3556.0,4009.0,2013,2014,2
hr2218-113,H.R.2218,113.0,575170679.0,3398.0,3434.0,2013,2015,3
hr427-114,H.R.427,114.0,574855040.0,3172.0,3089.0,2015,2016,2
s2658-114,S.2658,114.0,570269659.0,4318.0,5064.0,2016,2017,2
hr2205-114,H.R.2205,114.0,569479914.0,4762.0,5220.0,2015,2017,3
hr3354-115,H.R.3354,115.0,563075606.0,6471.0,8676.0,2017,2019,3
hr1327-114,H.R.1327,114.0,554398452.0,2790.0,2197.0,2015,2016,2
s640-114,S.640,114.0,553626580.0,2704.0,2033.0,2015,2016,2
s1397-113,S.1397,113.0,550887067.0,2430.0,1617.0,2013,2014,2
hr1304-117,H.R.1304,117.0,550641274.0,3662.0,4707.0,2021,2022,2
s888-113,S.888,113.0,550401407.0,3141.0,2812.0,2013,2014,2
hr2122-113,H.R.2122,113.0,550278871.0,3051.0,2917.0,2013,2017,4
s226-114,S.226,114.0,548854394.0,2663.0,2006.0,2015,2016,2
hr1314-114,H.R.1314,114.0,543222082.0,5452.0,6818.0,2015,2016,2
hr5-116,H.R.5,116.0,540353118.0,3707.0,4801.0,2019,2020,2
s1029-113,S.1029,113.0,539745586.0,3056.0,2505.0,2013,2014,2
hr2397-113,H.R.2397,113.0,536957783.0,6424.0,7414.0,2013,2015,3
s3000-114,S.3000,114.0,536022721.0,5570.0,6162.0,2016,2017,2
hr3080-113,H.R.3080,113.0,533333414.0,5980.0,9326.0,2013,2015,3
hr2042-114,H.R.2042,114.0,531908883.0,2897.0,2542.0,2015,2016,2
hr161-114,H.R.161,114.0,531435644.0,3190.0,2632.0,2015,2016,2
s2302-116,S.2302,116.0,530803550.0,4249.0,6460.0,2019,2020,2
hr948-116,H.R.948,116.0,529979838.0,2698.0,1852.0,2019,2020,2
hr5293-114,H.R.5293,114.0,529803933.0,5368.0,6237.0,2016,2017,2
s1298-117,S.1298,117.0,527800929.0,3860.0,6085.0,2021,2023,3
hr763-113,H.R.763,113.0,520996351.0,3505.0,3838.0,2013,2014,2
hr8337-116,H.R.8337,116.0,519552194.0,4910.0,6948.0,2020,2022,3
s1392-113,S.1392,113.0,513962824.0,3570.0,4368.0,2013,2015,3
s617-116,S.617,116.0,513434646.0,2562.0,4861.0,2019,2020,2
hr3460-117,H.R.3460,117.0,512170405.0,2697.0,2475.0,2021,2023,3
s3040-114,S.3040,114.0,511208921.0,5391.0,5881.0,2015,2017,3
s1416-116,S.1416,116.0,510784680.0,3497.0,2564.0,2019,2020,2
s2792-117,S.2792,117.0,510568949.0,4939.0,5977.0,2021,2023,3
s4543-117,S.4543,117.0,506573458.0,4586.0,5246.0,2022,2023,2
hr4870-113,H.R.4870,113.0,501940987.0,5103.0,5907.0,2014,2015,2
s1324-114,S.1324,114.0,499845320.0,2771.0,2286.0,2015,2016,2
hr4923-113,H.R.4923,113.0,499370025.0,4600.0,5503.0,2014,2015,2
s1619-114,S.1619,114.0,497349498.0,3109.0,3431.0,2015,2016,2
hr3156-116,H.R.3156,116.0,496297000.0,2254.0,1446.0,2019,2020,2
s884-113,S.884,113.0,495601818.0,2358.0,1936.0,2013,2014,2
hr3267-115,H.R.3267,115.0,492583627.0,3491.0,3541.0,2017,2019,3
s2016-117,S.2016,117.0,492160549.0,3402.0,3665.0,2021,2022,2
hr3843-117,H.R.3843,117.0,491969459.0,2760.0,2696.0,2021,2023,3
s2968-116,S.2968,116.0,489918354.0,2871.0,3209.0,2019,2020,2
s1519-115,S.1519,115.0,487184050.0,5314.0,6825.0,2017,2019,3
hr2217-113,H.R.2217,113.0,486541875.0,4328.0,5523.0,2013,2015,3
s178-116,S.178,116.0,485711421.0,3605.0,3715.0,2019,2020,2
s19-113,S.19,113.0,485323744.0,2537.0,1477.0,2013,2014,2
s2260-113,S.2260,113.0,484252431.0,4608.0,5641.0,2014,2015,2
s2437-113,S.2437,113.0,484087458.0,4067.0,4291.0,2014,2015,2
hr1354-113,H.R.1354,113.0,483297454.0,3241.0,3362.0,2013,2015,3
hr1644-116,H.R.1644,116.0,483196075.0,2828.0,2505.0,2019,2020,2
hr3167-116,H.R.3167,116.0,482691566.0,2363.0,2519.0,2019,2020,2
s383-116,S.383,116.0,481608509.0,3094.0,2876.0,2019,2020,2
hr367-113,H.R.367,113.0,481006226.0,2703.0,2829.0,2013,2014,2
s1140-114,S.1140,114.0,480256869.0,3329.0,4680.0,2015,2017,3
hr1029-114,H.R.1029,114.0,479321565.0,2650.0,1928.0,2015,2016,2
s638-114,S.638,114.0,478790000.0,2365.0,1503.0,2015,2016,2
hr1900-113,H.R.1900,113.0,478683646.0,2827.0,2526.0,2013,2014,2
hr4311-115,H.R.4311,115.0,477799259.0,2743.0,3191.0,2017,2019,3
hr26-115,H.R.26,115.0,477668710.0,2867.0,4387.0,2017,2018,2
hr1799-117,H.R.1799,117.0,475046657.0,2954.0,3697.0,2021,2022,2
s1428-117,S.1428,117.0,474781583.0,2403.0,1752.0,2021,2023,3
hr2728-113,H.R.2728,113.0,473677609.0,2706.0,2471.0,2013,2015,3
s698-114,S.698,114.0,473106619.0,3420.0,4417.0,2015,2016,2
s951-115,S.951,115.0,472921728.0,2963.0,4010.0,2017,2019,3
hr4435-113,H.R.4435,113.0,472783066.0,4922.0,6518.0,2013,2015,3
hr2668-117,H.R.2668,117.0,472324754.0,2336.0,1646.0,2021,2022,2
hr2741-116,H.R.2741,116.0,472117129.0,3147.0,6173.0,2019,2020,2
hr848-117,H.R.848,117.0,472030943.0,4544.0,6959.0,2021,2022,2
hr2474-116,H.R.2474,116.0,470465373.0,4032.0,5319.0,2019,2020,2
hr1582-113,H.R.1582,113.0,469385508.0,2633.0,2240.0,2013,2014,2
hr4441-114,H.R.4441,114.0,469354148.0,3716.0,4716.0,2016,2017,2
s2844-114,S.2844,114.0,468562588.0,3616.0,4568.0,2016,2017,2
s1197-113,S.1197,113.0,465430183.0,4884.0,5914.0,2013,2014,2
hr1393-115,H.R.1393,115.0,465033339.0,3144.0,3748.0,2017,2018,2
s340-116,S.340,116.0,465003422.0,3513.0,3060.0,2019,2020,2
hconres27-114,H.CON.RES.27,114.0,464657475.0,5869.0,5675.0,2015,2016,2
hr6157-115,H.R.6157,115.0,463238532.0,6633.0,8226.0,2018,2019,2
hr2954-117,H.R.2954,117.0,463028587.0,4693.0,4585.0,2021,2023,3
s2244-113,S.2244,113.0,462412293.0,2960.0,3324.0,2014,2015,2
hr4978-116,H.R.4978,116.0,462256536.0,2408.0,2309.0,2019,2020,2
s169-113,S.169,113.0,461310134.0,3002.0,4284.0,2013,2014,2
hr6-117,H.R.6,117.0,459096237.0,3776.0,5283.0,2021,2023,3
s543-114,S.543,114.0,458893014.0,2464.0,1521.0,2015,2016,2
s1376-114,S.1376,114.0,458529394.0,4751.0,5358.0,2015,2016,2
s3001-114,S.3001,114.0,457604130.0,2995.0,3348.0,2016,2017,2
hr879-114,H.R.879,114.0,456718762.0,3433.0,3491.0,2015,2016,2
hr4660-113,H.R.4660,113.0,456563292.0,4403.0,5417.0,2014,2015,2
hr3351-116,H.R.3351,116.0,456325192.0,3734.0,3980.0,2019,2020,2
hr1468-113,H.R.1468,113.0,455470975.0,2497.0,2694.0,2013,2014,2
hr2685-114,H.R.2685,114.0,454741012.0,5151.0,5801.0,2015,2017,3
hr8295-117,H.R.8295,117.0,454464585.0,4472.0,5509.0,2022,2023,2
hr2520-115,H.R.2520,115.0,452246585.0,2779.0,3099.0,2017,2019,3
hr5538-114,H.R.5538,114.0,451345473.0,3621.0,4477.0,2016,2017,2
hr7608-116,H.R.7608,116.0,448571506.0,3035.0,3272.0,2020,2020,1
hr1732-114,H.R.1732,114.0,448054346.0,2970.0,4118.0,2015,2016,2
s2657-116,S.2657,116.0,447496012.0,3376.0,3592.0,2019,2020,2
hr2873-117,H.R.2873,117.0,447408613.0,2476.0,1739.0,2021,2023,3
s540-115,S.540,115.0,447399899.0,3002.0,3182.0,2017,2018,2
hr620-115,H.R.620,115.0,447322867.0,2826.0,3642.0,2017,2018,2
hr992-113,H.R.992,113.0,446313784.0,2944.0,2277.0,2013,2014,2
hr3301-113,H.R.3301,113.0,443634098.0,2222.0,1989.0,2013,2015,3
hr1320-114,H.R.1320,114.0,442682872.0,2361.0,1511.0,2015,2016,2
s3067-114,S.3067,114.0,439735894.0,2944.0,2476.0,2016,2017,2
s720-114,S.720,114.0,438365206.0,2705.0,3591.0,2015,2016,2
hr491-113,H.R.491,113.0,438140000.0,2225.0,1146.0,2013,2014,2
s936-117,S.936,117.0,437432604.0,3257.0,4906.0,2021,2022,2
hr3825-117,H.R.3825,117.0,435813405.0,2672.0,2723.0,2021,2023,3
hr1044-116,H.R.1044,116.0,435028239.0,2842.0,3142.0,2019,2020,2
s1217-113,S.1217,113.0,434855204.0,4276.0,5091.0,2013,2015,3
s604-116,S.604,116.0,434447314.0,2486.0,2196.0,2019,2020,2
hr880-114,H.R.880,114.0,434054838.0,2689.0,2867.0,2015,2016,2
hr806-115,H.R.806,115.0,433581961.0,2801.0,3714.0,2017,2018,2
s293-114,S.293,114.0,433029150.0,2580.0,1837.0,2015,2016,2
s2837-114,S.2837,114.0,431769335.0,3417.0,3775.0,2016,2017,2
s1109-114,S.1109,114.0,431750014.0,2240.0,1267.0,2015,2017,3
s1251-117,S.1251,117.0,429120419.0,3631.0,3984.0,2021,2022,2
hr1848-117,H.R.1848,117.0,428879846.0,3211.0,4463.0,2021,2022,2
hr803-113,H.R.803,113.0,428842630.0,3698.0,4040.0,2013,2014,2
hr508-113,H.R.508,113.0,428437727.0,2757.0,3111.0,2013,2014,2
hr523-113,H.R.523,113.0,427725402.0,2963.0,2683.0,2013,2014,2
hr1090-114,H.R.1090,114.0,426709668.0,3020.0,3473.0,2015,2016,2
hr3826-113,H.R.3826,113.0,423892849.0,2586.0,2977.0,2013,2015,3
hr761-113,H.R.761,113.0,423434513.0,2337.0,2235.0,2013,2014,2
s2987-115,S.2987,115.0,423370639.0,4262.0,4896.0,2018,2019,2
hr2557-114,H.R.2557,114.0,422230000.0,2089.0,1155.0,2015,2016,2
hr6-115,H.R.6,115.0,418399287.0,5345.0,6242.0,2017,2019,3
s1931-117,S.1931,117.0,418348274.0,3237.0,4723.0,2021,2023,3
hr585-114,H.R.585,114.0,418194924.0,2372.0,1562.0,2015,2016,2
s639-114,S.639,114.0,416890000.0,2165.0,1194.0,2015,2016,2
hr195-115,H.R.195,115.0,414162964.0,2375.0,2861.0,2017,2018,2
hr616-114,H.R.616,114.0,414113010.0,2033.0,1692.0,2015,2016,2
hr2131-113,H.R.2131,113.0,413599817.0,3576.0,4290.0,2013,2017,4
hr1520-116,H.R.1520,116.0,412889357.0,3053.0,2799.0,2019,2020,2
hr2013-116,H.R.2013,116.0,412631042.0,2292.0,2562.0,2019,2020,2
hr1256-113,H.R.1256,113.0,412527254.0,2937.0,2478.0,2013,2014,2
s2520-116,S.2520,116.0,412276322.0,3368.0,3432.0,2019,2020,2
s386-116,S.386,116.0,410992326.0,2614.0,3191.0,2019,2020,2
s356-114,S.356,114.0,410897799.0,2916.0,3111.0,2015,2016,2
hr1123-113,H.R.1123,113.0,410417233.0,2064.0,1739.0,2013,2014,2
hr2648-114,H.R.2648,114.0,408854594.0,2099.0,1262.0,2015,2017,3
s385-115,S.385,115.0,408769343.0,2377.0,3074.0,2017,2018,2
hr2024-113,H.R.2024,113.0,407952213.0,2456.0,3212.0,2013,2015,3
s3068-114,S.3068,114.0,407930196.0,3078.0,3623.0,2016,2017,2
s632-114,S.632,114.0,407898189.0,2507.0,4015.0,2015,2016,2
hr1499-116,H.R.1499,116.0,405669031.0,2812.0,2317.0,2019,2020,2
hr160-114,H.R.160,114.0,405305826.0,2924.0,2978.0,2015,2016,2
s1-114,S.1,114.0,404753077.0,3098.0,3870.0,2015,2016,2
s21-113,S.21,113.0,404639758.0,2500.0,3391.0,2013,2014,2
hr4378-116,H.R.4378,116.0,404491461.0,2564.0,2954.0,2019,2020,2
hr965-116,H.R.965,116.0,404268413.0,3240.0,3089.0,2019,2020,2
hr1422-115,H.R.1422,115.0,403977614.0,2295.0,2837.0,2017,2018,2
hr739-116,H.R.739,116.0,403850000.0,2083.0,1287.0,2019,2020,2
hr1616-113,H.R.1616,113.0,402733225.0,2591.0,3393.0,2013,2015,3
hr5305-117,H.R.5305,117.0,402510783.0,2782.0,3343.0,2021,2023,3
s386-114,S.386,114.0,402086472.0,2754.0,3308.0,2015,2016,2
hr983-113,H.R.983,113.0,401759639.0,2353.0,1935.0,2013,2014,2
h2-114,H.R.2,114.0,400602343.0,2526.0,2688.0,2015,2017,3
hr6833-117,H.R.6833,117.0,400526096.0,4305.0,4216.0,2022,2023,2
hr712-114,H.R.712,114.0,400274966.0,2490.0,2261.0,2015,2016,2
hjres31-116,H.J.RES.31,116.0,399692637.0,3545.0,4096.0,2019,2020,2
s1905-113,S.1905,113.0,399543022.0,2050.0,2093.0,2013,2015,3
hr19-116,H.R.19,116.0,398661652.0,2640.0,2472.0,2019,2020,2
s961-114,S.961,114.0,397745844.0,4048.0,4651.0,2015,2017,3
hr1101-115,H.R.1101,115.0,396398174.0,2186.0,2664.0,2017,2018,2
hr3114-117,H.R.3114,117.0,395196380.0,2120.0,1621.0,2021,2022,2
s1425-114,S.1425,114.0,394645982.0,1872.0,1164.0,2015,2016,2
hr235-114,H.R.235,114.0,394504123.0,2147.0,1565.0,2015,2016,2
s2875-117,S.2875,117.0,394376550.0,2611.0,3567.0,2021,2023,3
s620-114,S.620,114.0,394290335.0,2497.0,2557.0,2015,2016,2
hr2775-114,H.R.2775,114.0,393169401.0,2863.0,3822.0,2015,2018,4
s583-116,S.583,116.0,392678201.0,1950.0,1842.0,2019,2020,2
s684-116,S.684,116.0,391504946.0,3083.0,3485.0,2019,2020,2
s2992-117,S.2992,117.0,391339121.0,2920.0,3079.0,2021,2023,3
s563-115,S.563,115.0,391254369.0,2089.0,2401.0,2017,2018,2
hr2916-113,H.R.2916,113.0,391003781.0,1709.0,1136.0,2013,2014,2
s903-116,S.903,116.0,390743833.0,2133.0,1977.0,2019,2020,2
hr1189-114,H.R.1189,114.0,390515463.0,2620.0,2939.0,2015,2016,2
s1605-117,S.1605,117.0,390214444.0,3243.0,4057.0,2021,2023,3
hr699-114,H.R.699,114.0,387480651.0,2626.0,2771.0,2015,2016,2
hr1847-113,H.R.1847,113.0,387313627.0,1951.0,1467.0,2013,2014,2
hr1-117,H.R.1,117.0,386670387.0,3811.0,5259.0,2021,2022,2
hr2610-113,H.R.2610,113.0,386270646.0,3409.0,4363.0,2013,2014,2
s482-116,S.482,116.0,385831798.0,2326.0,1942.0,2019,2020,2
hr2822-114,H.R.2822,114.0,385417082.0,3527.0,4229.0,2015,2017,3
hr2547-117,H.R.2547,117.0,385092908.0,2270.0,1618.0,2021,2022,2
hr6379-116,H.R.6379,116.0,384679682.0,3919.0,4678.0,2020,2020,1
s2588-113,S.2588,113.0,384226175.0,2035.0,2085.0,2014,2015,2
hr1994-116,H.R.1994,116.0,384055768.0,4039.0,4498.0,2019,2020,2
hr8257-117,H.R.8257,117.0,383761969.0,2512.0,3529.0,2022,2023,2
hr3621-116,H.R.3621,116.0,383671032.0,1678.0,1436.0,2019,2020,2
hr2050-114,H.R.2050,114.0,383223421.0,3140.0,3476.0,2015,2016,2
hr4800-113,H.R.4800,113.0,383139590.0,3630.0,4533.0,2013,2015,3
s1685-116,S.1685,116.0,383046993.0,2027.0,1757.0,2019,2020,2
hr527-113,H.R.527,113.0,382973169.0,2876.0,3390.0,2013,2014,2
s1398-116,S.1398,116.0,380268100.0,1910.0,1572.0,2019,2020,2
hr4413-113,H.R.4413,113.0,379802319.0,2191.0,2132.0,2014,2015,2
hr1852-113,H.R.1852,113.0,379800405.0,2166.0,1893.0,2013,2014,2
s1558-114,S.1558,114.0,379510052.0,4685.0,5053.0,2015,2017,3
hr5430-116,H.R.5430,116.0,379479833.0,2852.0,3782.0,2019,2020,2
s1364-113,S.1364,113.0,378814194.0,1815.0,1202.0,2013,2015,3
hr4773-117,H.R.4773,117.0,378731068.0,1649.0,1379.0,2021,2023,3
hr4007-113,H.R.4007,113.0,378215478.0,1895.0,1871.0,2014,2015,2
s189-116,S.189,116.0,378183201.0,1920.0,1790.0,2019,2020,2
hr4431-117,H.R.4431,117.0,377821957.0,2937.0,3429.0,2021,2023,3
hr3622-116,H.R.3622,116.0,377790000.0,1537.0,1234.0,2019,2020,2
hr2884-117,H.R.2884,117.0,376586993.0,2042.0,1374.0,2021,2023,3
s2804-114,S.2804,114.0,375194389.0,3857.0,4380.0,2016,2017,2
hr3618-116,H.R.3618,116.0,373570000.0,1563.0,1195.0,2019,2020,2
hr1277-117,H.R.1277,117.0,373447247.0,2248.0,1686.0,2021,2022,2
hr19-117,H.R.19,117.0,373311434.0,2418.0,2033.0,2021,2023,3
hr1046-116,H.R.1046,116.0,373095688.0,2397.0,2283.0,2019,2020,2
hr3830-113,H.R.3830,113.0,372462612.0,2538.0,3654.0,2013,2015,3
s1771-115,S.1771,115.0,371596645.0,4616.0,4920.0,2017,2019,3
s2006-114,S.2006,114.0,371315000.0,1749.0,1385.0,2015,2017,3
s1890-114,S.1890,114.0,371298175.0,2284.0,2632.0,2015,2017,3
s149-114,S.149,114.0,370357944.0,2557.0,2464.0,2015,2016,2
s374-117,S.374,117.0,370337247.0,2226.0,1617.0,2021,2022,2
s370-116,S.370,116.0,370293044.0,1898.0,1411.0,2019,2020,2
hr1129-113,H.R.1129,113.0,370181026.0,2523.0,2559.0,2013,2014,2
